lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-12-05 03:49:34.983228,,,,,,,,,,,,,,
,2023-12-05 03:49:35.845472,0.03373811021447182,0.00013369083171710372,0.03373811021447182,49.0,0.0,,,,,,,,,
0.02,2023-12-05 03:50:18.243891,,,,,,,,,,,,,,
,2023-12-05 03:50:19.110949,0.36040017008781433,0.0205977875739336,0.36040017008781433,99.0,0.0,,,,,,,,,
0.02,2023-12-05 03:51:01.688224,,,,,,,,,,,,,,
,2023-12-05 03:51:02.555778,0.45173928141593933,0.0035120078828185797,0.45173928141593933,149.0,0.0,,,,,,,,,
0.02,2023-12-05 03:51:45.151768,,,,,,,,,,,,,,
,2023-12-05 03:51:46.020609,0.13928647339344025,0.0009593102731741965,0.13928647339344025,199.0,0.0,,,,,,,,,
0.02,2023-12-05 03:52:28.620510,,,,,,,,,,,,,,
,2023-12-05 03:52:29.491140,0.07816280424594879,0.0002762864460237324,0.07816280424594879,249.0,0.0,,,,,,,,,
0.02,2023-12-05 03:53:12.109904,,,,,,,,,,,,,,
,2023-12-05 03:53:12.976980,0.19429373741149902,0.0011886658612638712,0.19429373741149902,299.0,0.0,,,,,,,,,
0.02,2023-12-05 03:53:55.583758,,,,,,,,,,,,,,
,2023-12-05 03:53:56.452724,0.24631237983703613,0.0015058026183396578,0.24631237983703613,349.0,0.0,,,,,,,,,
0.02,2023-12-05 03:54:39.084659,,,,,,,,,,,,,,
,2023-12-05 03:54:39.951066,0.2849906086921692,0.0020871972665190697,0.2849906086921692,399.0,0.0,,,,,,,,,
,2023-12-05 03:55:09.514171,,,,,0.0,0.12480099499225616,0.0005813328316435218,0.12480099499225616,0.20557570457458496,0.0016225493745878339,0.20557570457458496,,,
,2023-12-05 03:55:09.522298,,,,,0.0,,,,,,,0.1837635636329651,0.002848559757694602,0.1837635636329651
0.02,2023-12-05 03:55:30.933477,,,,,,,,,,,,,,
,2023-12-05 03:55:31.799374,0.06289663910865784,0.00022082857321947813,0.06289663910865784,449.0,1.0,,,,,,,,,
0.02,2023-12-05 03:56:14.399349,,,,,,,,,,,,,,
,2023-12-05 03:56:16.880263,0.10135670006275177,0.00040972186252474785,0.10135670006275177,499.0,1.0,,,,,,,,,
0.02,2023-12-05 03:59:10.675060,,,,,,,,,,,,,,
,2023-12-05 03:59:11.541460,0.17461833357810974,0.0010450503323227167,0.17461833357810974,549.0,1.0,,,,,,,,,
0.02,2023-12-05 03:59:54.160106,,,,,,,,,,,,,,
,2023-12-05 03:59:55.029853,0.07962274551391602,0.00027339233201928437,0.07962274551391602,599.0,1.0,,,,,,,,,
0.02,2023-12-05 04:00:37.627593,,,,,,,,,,,,,,
,2023-12-05 04:00:38.496208,0.4714234471321106,0.006468411069363356,0.4714234471321106,649.0,1.0,,,,,,,,,
0.02,2023-12-05 04:01:21.115525,,,,,,,,,,,,,,
,2023-12-05 04:01:21.981860,0.1698882281780243,0.0006879260763525963,0.1698882281780243,699.0,1.0,,,,,,,,,
0.02,2023-12-05 04:02:04.593193,,,,,,,,,,,,,,
,2023-12-05 04:02:05.459037,0.05647806078195572,0.0002062901621684432,0.05647806078195572,749.0,1.0,,,,,,,,,
0.02,2023-12-05 04:02:48.063152,,,,,,,,,,,,,,
,2023-12-05 04:02:48.931363,0.07406975328922272,0.0002591290685813874,0.07406975328922272,799.0,1.0,,,,,,,,,
0.02,2023-12-05 04:03:31.594740,,,,,,,,,,,,,,
,2023-12-05 04:03:32.456122,0.404119074344635,0.0032427909318357706,0.404119074344635,849.0,1.0,,,,,,,,,
,2023-12-05 04:03:37.636074,,,,,1.0,0.13659948110580444,0.0005151189980097115,0.13659948110580444,0.07962305843830109,0.0003709423472173512,0.07962305843830109,,,
