lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-12-05 08:10:14.742526,,,,,,,,,,,,,,
,2023-12-05 08:10:15.601971,0.03353629261255264,0.00013285066233947873,0.03353629261255264,49.0,0.0,,,,,,,,,
0.02,2023-12-05 08:10:57.994960,,,,,,,,,,,,,,
,2023-12-05 08:10:58.857722,0.3593063950538635,0.0205996036529541,0.3593063950538635,99.0,0.0,,,,,,,,,
0.02,2023-12-05 08:11:41.430408,,,,,,,,,,,,,,
,2023-12-05 08:11:42.294516,0.45128390192985535,0.003509588772431016,0.45128390192985535,149.0,0.0,,,,,,,,,
0.02,2023-12-05 08:12:24.905748,,,,,,,,,,,,,,
,2023-12-05 08:12:25.772583,0.13906727731227875,0.0009575505973771214,0.13906727731227875,199.0,0.0,,,,,,,,,
0.02,2023-12-05 08:13:08.377223,,,,,,,,,,,,,,
,2023-12-05 08:13:09.246515,0.078117236495018,0.0002761869109235704,0.078117236495018,249.0,0.0,,,,,,,,,
0.02,2023-12-05 08:13:51.864494,,,,,,,,,,,,,,
,2023-12-05 08:13:52.732351,0.1942785084247589,0.0011895156931132078,0.1942785084247589,299.0,0.0,,,,,,,,,
0.02,2023-12-05 08:14:35.354946,,,,,,,,,,,,,,
,2023-12-05 08:14:36.225065,0.2460629642009735,0.001505045685917139,0.2460629642009735,349.0,0.0,,,,,,,,,
0.02,2023-12-05 08:15:18.838876,,,,,,,,,,,,,,
,2023-12-05 08:15:19.704981,0.28383761644363403,0.002079716417938471,0.28383761644363403,399.0,0.0,,,,,,,,,
,2023-12-05 08:15:49.265965,,,,,0.0,0.12441562116146088,0.0005796064506284893,0.12441562116146088,0.204983189702034,0.001619082991965115,0.204983189702034,,,
,2023-12-05 08:15:49.273662,,,,,0.0,,,,,,,0.18342231214046478,0.0028471648693084717,0.18342231214046478
0.02,2023-12-05 08:16:10.662690,,,,,,,,,,,,,,
,2023-12-05 08:16:11.529908,0.062039948999881744,0.0002177402493543923,0.062039948999881744,449.0,1.0,,,,,,,,,
0.02,2023-12-05 08:16:54.147811,,,,,,,,,,,,,,
,2023-12-05 08:16:56.663448,0.09983852505683899,0.0004034995217807591,0.09983852505683899,499.0,1.0,,,,,,,,,
0.02,2023-12-05 08:19:50.408651,,,,,,,,,,,,,,
,2023-12-05 08:19:51.274516,0.17310881614685059,0.0010366529459133744,0.17310881614685059,549.0,1.0,,,,,,,,,
0.02,2023-12-05 08:20:33.899998,,,,,,,,,,,,,,
,2023-12-05 08:20:34.767911,0.07915671169757843,0.0002713821013458073,0.07915671169757843,599.0,1.0,,,,,,,,,
0.02,2023-12-05 08:21:17.385504,,,,,,,,,,,,,,
,2023-12-05 08:21:18.252988,0.46993890404701233,0.006467518862336874,0.46993890404701233,649.0,1.0,,,,,,,,,
0.02,2023-12-05 08:22:00.868335,,,,,,,,,,,,,,
,2023-12-05 08:22:01.733915,0.16883939504623413,0.0006839132984168828,0.16883939504623413,699.0,1.0,,,,,,,,,
0.02,2023-12-05 08:22:44.365744,,,,,,,,,,,,,,
,2023-12-05 08:22:45.231665,0.056164246052503586,0.00020509895693976432,0.056164246052503586,749.0,1.0,,,,,,,,,
0.02,2023-12-05 08:23:27.850504,,,,,,,,,,,,,,
,2023-12-05 08:23:28.714648,0.07348381727933884,0.0002572362427599728,0.07348381727933884,799.0,1.0,,,,,,,,,
0.02,2023-12-05 08:24:11.381649,,,,,,,,,,,,,,
,2023-12-05 08:24:12.244434,0.40177422761917114,0.0032272180542349815,0.40177422761917114,849.0,1.0,,,,,,,,,
,2023-12-05 08:24:17.431135,,,,,1.0,0.1356835514307022,0.0005115677486173809,0.1356835514307022,0.07951019704341888,0.00037047069054096937,0.07951019704341888,,,
,2023-12-05 08:24:17.439211,,,,,1.0,,,,,,,0.18100908398628235,0.003651843871921301,0.18100908398628235
0.02,2023-12-05 08:25:00.587287,,,,,,,,,,,,,,
,2023-12-05 08:25:01.454611,0.10966221988201141,0.0003958397719543427,0.10966221988201141,899.0,2.0,,,,,,,,,
0.02,2023-12-05 08:25:44.072263,,,,,,,,,,,,,,
,2023-12-05 08:25:44.941894,0.12388821691274643,0.0004444220685400069,0.12388821691274643,949.0,2.0,,,,,,,,,
0.02,2023-12-05 08:26:27.557507,,,,,,,,,,,,,,
,2023-12-05 08:26:30.112282,0.28003519773483276,0.0019121184013783932,0.28003519773483276,999.0,2.0,,,,,,,,,
0.02,2023-12-05 08:29:19.936010,,,,,,,,,,,,,,
,2023-12-05 08:29:20.803867,0.268866628408432,0.021528122946619987,0.268866628408432,1049.0,2.0,,,,,,,,,
0.02,2023-12-05 08:30:03.404595,,,,,,,,,,,,,,
,2023-12-05 08:30:04.274132,0.05871500074863434,0.0002103151346091181,0.05871500074863434,1099.0,2.0,,,,,,,,,
0.02,2023-12-05 08:30:46.904340,,,,,,,,,,,,,,
,2023-12-05 08:30:47.773588,0.2077338546514511,0.001140975276939571,0.2077338546514511,1149.0,2.0,,,,,,,,,
0.02,2023-12-05 08:31:30.397542,,,,,,,,,,,,,,
,2023-12-05 08:31:31.263503,0.323091983795166,0.0015939446166157722,0.323091983795166,1199.0,2.0,,,,,,,,,
0.02,2023-12-05 08:32:13.868857,,,,,,,,,,,,,,
,2023-12-05 08:32:14.735744,0.14206749200820923,0.00050149648450315,0.14206749200820923,1249.0,2.0,,,,,,,,,
,2023-12-05 08:32:41.714075,,,,,2.0,0.15625013411045074,0.0007996968342922628,0.15625013411045074,0.12028482556343079,0.0006036341655999422,0.12028482556343079,,,
,2023-12-05 08:32:41.722545,,,,,2.0,,,,,,,0.17620226740837097,0.0024685559328645468,0.17620226740837097
0.02,2023-12-05 08:33:03.093415,,,,,,,,,,,,,,
,2023-12-05 08:33:03.959382,0.16903053224086761,0.0006088488735258579,0.16903053224086761,1299.0,3.0,,,,,,,,,
0.02,2023-12-05 08:33:46.584356,,,,,,,,,,,,,,
,2023-12-05 08:33:47.452295,0.016637727618217468,7.211192860268056e-05,0.016637727618217468,1349.0,3.0,,,,,,,,,
0.02,2023-12-05 08:34:30.059020,,,,,,,,,,,,,,
,2023-12-05 08:34:30.923915,0.02351796254515648,9.79491596808657e-05,0.02351796254515648,1399.0,3.0,,,,,,,,,
0.02,2023-12-05 08:35:13.547631,,,,,,,,,,,,,,
,2023-12-05 08:35:14.418232,0.38324999809265137,0.01502462662756443,0.38324999809265137,1449.0,3.0,,,,,,,,,
0.02,2023-12-05 08:35:57.042564,,,,,,,,,,,,,,
,2023-12-05 08:35:58.748622,0.20181211829185486,0.004260207060724497,0.20181211829185486,1499.0,3.0,,,,,,,,,
0.02,2023-12-05 08:38:48.614563,,,,,,,,,,,,,,
,2023-12-05 08:38:49.480314,0.09621182084083557,0.0003302530385553837,0.09621182084083557,1549.0,3.0,,,,,,,,,
0.02,2023-12-05 08:39:32.110667,,,,,,,,,,,,,,
,2023-12-05 08:39:32.978776,0.23425227403640747,0.0013121264055371284,0.23425227403640747,1599.0,3.0,,,,,,,,,
0.02,2023-12-05 08:40:15.588513,,,,,,,,,,,,,,
,2023-12-05 08:40:16.456336,0.1272127628326416,0.0004796608700416982,0.1272127628326416,1649.0,3.0,,,,,,,,,
0.02,2023-12-05 08:40:59.123061,,,,,,,,,,,,,,
,2023-12-05 08:40:59.987749,0.2945525348186493,0.001615324174053967,0.2945525348186493,1699.0,3.0,,,,,,,,,
,2023-12-05 08:41:05.176365,,,,,3.0,0.1033736988902092,0.0005560477147810161,0.1033736988902092,0.26116910576820374,0.0018765860004350543,0.26116910576820374,,,
,2023-12-05 08:41:05.187729,,,,,3.0,,,,,,,0.18089953064918518,0.0034399719443172216,0.18089953064918518
0.02,2023-12-05 08:41:48.353004,,,,,,,,,,,,,,
,2023-12-05 08:41:49.219644,0.05761648714542389,0.000207025688723661,0.05761648714542389,1749.0,4.0,,,,,,,,,
0.02,2023-12-05 08:42:31.829661,,,,,,,,,,,,,,
,2023-12-05 08:42:32.697991,0.05610093101859093,0.00020304879581090063,0.05610093101859093,1799.0,4.0,,,,,,,,,
0.02,2023-12-05 08:43:15.311883,,,,,,,,,,,,,,
,2023-12-05 08:43:16.179051,0.0552765429019928,0.00019371506641618907,0.0552765429019928,1849.0,4.0,,,,,,,,,
0.02,2023-12-05 08:43:58.800963,,,,,,,,,,,,,,
,2023-12-05 08:43:59.668339,0.1276782751083374,0.0005242486950010061,0.1276782751083374,1899.0,4.0,,,,,,,,,
0.02,2023-12-05 08:44:42.273105,,,,,,,,,,,,,,
,2023-12-05 08:44:43.140294,0.1942206174135208,0.0009906041668727994,0.1942206174135208,1949.0,4.0,,,,,,,,,
0.02,2023-12-05 08:45:25.769648,,,,,,,,,,,,,,
,2023-12-05 08:45:27.497878,0.09334292262792587,0.0003169813717249781,0.09334292262792587,1999.0,4.0,,,,,,,,,
0.02,2023-12-05 08:48:17.274778,,,,,,,,,,,,,,
,2023-12-05 08:48:18.143374,0.2472684234380722,0.002163538709282875,0.2472684234380722,2049.0,4.0,,,,,,,,,
0.02,2023-12-05 08:49:00.764146,,,,,,,,,,,,,,
,2023-12-05 08:49:01.630069,0.38473308086395264,0.007821223698556423,0.38473308086395264,2099.0,4.0,,,,,,,,,
,2023-12-05 08:49:28.636571,,,,,4.0,0.15202505886554718,0.0005486442241817713,0.15202505886554718,0.22128824889659882,0.0037534255534410477,0.22128824889659882,,,
,2023-12-05 08:49:28.645564,,,,,4.0,,,,,,,0.1729917973279953,0.0025014213752001524,0.1729917973279953
0.02,2023-12-05 08:49:50.060863,,,,,,,,,,,,,,
,2023-12-05 08:49:50.927878,0.19662177562713623,0.0011513144709169865,0.19662177562713623,2149.0,5.0,,,,,,,,,
0.02,2023-12-05 08:50:33.548257,,,,,,,,,,,,,,
,2023-12-05 08:50:34.416424,0.11533196270465851,0.00047467436525039375,0.11533196270465851,2199.0,5.0,,,,,,,,,
0.02,2023-12-05 08:51:17.024374,,,,,,,,,,,,,,
,2023-12-05 08:51:17.887922,0.17489589750766754,0.0006405196036212146,0.17489589750766754,2249.0,5.0,,,,,,,,,
0.02,2023-12-05 08:52:00.513673,,,,,,,,,,,,,,
,2023-12-05 08:52:01.377365,0.07506824284791946,0.0002649571106303483,0.07506824284791946,2299.0,5.0,,,,,,,,,
0.02,2023-12-05 08:52:43.996804,,,,,,,,,,,,,,
,2023-12-05 08:52:44.863273,0.3560008108615875,0.0031205748673528433,0.3560008108615875,2349.0,5.0,,,,,,,,,
0.02,2023-12-05 08:53:27.479688,,,,,,,,,,,,,,
,2023-12-05 08:53:28.348369,0.11247093230485916,0.00039531447691842914,0.11247093230485916,2399.0,5.0,,,,,,,,,
0.02,2023-12-05 08:54:10.991787,,,,,,,,,,,,,,
,2023-12-05 08:54:11.857998,0.11242666840553284,0.00037878367584198713,0.11242666840553284,2449.0,5.0,,,,,,,,,
0.02,2023-12-05 08:54:54.477787,,,,,,,,,,,,,,
,2023-12-05 08:54:56.188909,0.1142653152346611,0.0007821455365046859,0.1142653152346611,2499.0,5.0,,,,,,,,,
0.02,2023-12-05 08:57:46.094181,,,,,,,,,,,,,,
,2023-12-05 08:57:46.958272,0.13452166318893433,0.0008276166627183557,0.13452166318893433,2549.0,5.0,,,,,,,,,
,2023-12-05 08:57:52.150025,,,,,5.0,0.15752163529396057,0.0005881448742002249,0.15752163529396057,0.0982721596956253,0.0003538343880791217,0.0982721596956253,,,
,2023-12-05 08:57:52.159271,,,,,5.0,,,,,,,0.17487643659114838,0.003326504724100232,0.17487643659114838
0.02,2023-12-05 08:58:35.281520,,,,,,,,,,,,,,
,2023-12-05 08:58:36.147132,0.1809758096933365,0.0027683123480528593,0.1809758096933365,2599.0,6.0,,,,,,,,,
0.02,2023-12-05 08:59:18.759343,,,,,,,,,,,,,,
,2023-12-05 08:59:19.629780,0.3107697069644928,0.00322147598490119,0.3107697069644928,2649.0,6.0,,,,,,,,,
0.02,2023-12-05 09:00:02.256237,,,,,,,,,,,,,,
,2023-12-05 09:00:03.123811,0.07368084043264389,0.0002612535608932376,0.07368084043264389,2699.0,6.0,,,,,,,,,
0.02,2023-12-05 09:00:45.749652,,,,,,,,,,,,,,
,2023-12-05 09:00:46.617349,0.1082502231001854,0.00036521718720905483,0.1082502231001854,2749.0,6.0,,,,,,,,,
0.02,2023-12-05 09:01:29.221059,,,,,,,,,,,,,,
,2023-12-05 09:01:30.090041,0.09722843766212463,0.00033273626468144357,0.09722843766212463,2799.0,6.0,,,,,,,,,
0.02,2023-12-05 09:02:12.734017,,,,,,,,,,,,,,
,2023-12-05 09:02:13.603666,0.19404855370521545,0.0010732465889304876,0.19404855370521545,2849.0,6.0,,,,,,,,,
0.02,2023-12-05 09:02:56.226860,,,,,,,,,,,,,,
,2023-12-05 09:02:57.096707,0.059506550431251526,0.00021785334683954716,0.059506550431251526,2899.0,6.0,,,,,,,,,
0.02,2023-12-05 09:03:39.704167,,,,,,,,,,,,,,
,2023-12-05 09:03:40.570110,0.30151599645614624,0.0036463262513279915,0.30151599645614624,2949.0,6.0,,,,,,,,,
,2023-12-05 09:04:07.558752,,,,,6.0,0.1923343688249588,0.0015161563642323017,0.1923343688249588,0.32109534740448,0.005969930440187454,0.32109534740448,,,
,2023-12-05 09:04:07.568092,,,,,6.0,,,,,,,0.17417944967746735,0.0029721450991928577,0.17417944967746735
0.02,2023-12-05 09:04:28.983575,,,,,,,,,,,,,,
,2023-12-05 09:04:30.690599,0.24028223752975464,0.0017053545452654362,0.24028223752975464,2999.0,7.0,,,,,,,,,
0.02,2023-12-05 09:07:20.543647,,,,,,,,,,,,,,
,2023-12-05 09:07:21.409000,0.05715053528547287,0.0002042172709479928,0.05715053528547287,3049.0,7.0,,,,,,,,,
0.02,2023-12-05 09:08:04.023842,,,,,,,,,,,,,,
,2023-12-05 09:08:04.890098,0.21982651948928833,0.0012787438463419676,0.21982651948928833,3099.0,7.0,,,,,,,,,
0.02,2023-12-05 09:08:47.531878,,,,,,,,,,,,,,
,2023-12-05 09:08:48.396397,0.28958162665367126,0.0015463868621736765,0.28958162665367126,3149.0,7.0,,,,,,,,,
0.02,2023-12-05 09:09:31.011044,,,,,,,,,,,,,,
,2023-12-05 09:09:31.879838,0.05724850296974182,0.00020310429681558162,0.05724850296974182,3199.0,7.0,,,,,,,,,
0.02,2023-12-05 09:10:14.501879,,,,,,,,,,,,,,
,2023-12-05 09:10:15.366652,0.1041051372885704,0.00039173505501821637,0.1041051372885704,3249.0,7.0,,,,,,,,,
0.02,2023-12-05 09:10:57.995072,,,,,,,,,,,,,,
,2023-12-05 09:10:58.860536,0.09366191178560257,0.00032151571940630674,0.09366191178560257,3299.0,7.0,,,,,,,,,
0.02,2023-12-05 09:11:41.487978,,,,,,,,,,,,,,
,2023-12-05 09:11:42.359188,0.2674921154975891,0.0020234568510204554,0.2674921154975891,3349.0,7.0,,,,,,,,,
0.02,2023-12-05 09:12:25.037904,,,,,,,,,,,,,,
,2023-12-05 09:12:25.903071,0.1847132444381714,0.0012988263042643666,0.1847132444381714,3399.0,7.0,,,,,,,,,
,2023-12-05 09:12:31.107945,,,,,7.0,0.31859543919563293,0.0890042707324028,0.31859543919563293,0.15522614121437073,0.002117360010743141,0.15522614121437073,,,
,2023-12-05 09:12:31.121551,,,,,7.0,,,,,,,0.17477689683437347,0.002710496075451374,0.17477689683437347
0.02,2023-12-05 09:13:14.281490,,,,,,,,,,,,,,
,2023-12-05 09:13:15.149643,0.1204071193933487,0.00041389555553905666,0.1204071193933487,3449.0,8.0,,,,,,,,,
0.02,2023-12-05 09:13:57.757007,,,,,,,,,,,,,,
,2023-12-05 09:13:59.474752,0.29510384798049927,0.0022162941750139,0.29510384798049927,3499.0,8.0,,,,,,,,,
0.02,2023-12-05 09:16:49.259843,,,,,,,,,,,,,,
,2023-12-05 09:16:50.124944,0.14509524405002594,0.0006372906500473619,0.14509524405002594,3549.0,8.0,,,,,,,,,
0.02,2023-12-05 09:17:32.748184,,,,,,,,,,,,,,
,2023-12-05 09:17:33.616077,0.2092890739440918,0.0009057734278030694,0.2092890739440918,3599.0,8.0,,,,,,,,,
0.02,2023-12-05 09:18:16.224460,,,,,,,,,,,,,,
,2023-12-05 09:18:17.091362,0.2650519609451294,0.0015083238249644637,0.2650519609451294,3649.0,8.0,,,,,,,,,
0.02,2023-12-05 09:18:59.716002,,,,,,,,,,,,,,
,2023-12-05 09:19:00.581332,0.06248779967427254,0.00022389754303731024,0.06248779967427254,3699.0,8.0,,,,,,,,,
0.02,2023-12-05 09:19:43.193510,,,,,,,,,,,,,,
,2023-12-05 09:19:44.063043,0.15694990754127502,0.000546128663700074,0.15694990754127502,3749.0,8.0,,,,,,,,,
0.02,2023-12-05 09:20:26.672707,,,,,,,,,,,,,,
,2023-12-05 09:20:27.539912,0.2651524543762207,0.0016820362070575356,0.2651524543762207,3799.0,8.0,,,,,,,,,
