lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-12-05 12:14:23.953776,,,,,,,,,,,,,,
,2023-12-05 12:14:24.812050,0.03352721780538559,0.00013287633191794157,0.03352721780538559,49.0,0.0,,,,,,,,,
0.02,2023-12-05 12:15:07.227702,,,,,,,,,,,,,,
,2023-12-05 12:15:08.093964,0.36024194955825806,0.020623881369829178,0.36024194955825806,99.0,0.0,,,,,,,,,
0.02,2023-12-05 12:15:50.707904,,,,,,,,,,,,,,
,2023-12-05 12:15:51.575539,0.45073801279067993,0.0035056360065937042,0.45073801279067993,149.0,0.0,,,,,,,,,
0.02,2023-12-05 12:16:34.191001,,,,,,,,,,,,,,
,2023-12-05 12:16:35.057319,0.13894827663898468,0.0009568632231093943,0.13894827663898468,199.0,0.0,,,,,,,,,
0.02,2023-12-05 12:17:17.692461,,,,,,,,,,,,,,
,2023-12-05 12:17:18.558307,0.07809083163738251,0.0002759751514531672,0.07809083163738251,249.0,0.0,,,,,,,,,
0.02,2023-12-05 12:18:01.180715,,,,,,,,,,,,,,
,2023-12-05 12:18:02.046661,0.19367893040180206,0.0011864870321005583,0.19367893040180206,299.0,0.0,,,,,,,,,
0.02,2023-12-05 12:18:44.664747,,,,,,,,,,,,,,
,2023-12-05 12:18:45.531973,0.24523508548736572,0.0015012973453849554,0.24523508548736572,349.0,0.0,,,,,,,,,
0.02,2023-12-05 12:19:28.156493,,,,,,,,,,,,,,
,2023-12-05 12:19:29.025515,0.2829381227493286,0.002076522447168827,0.2829381227493286,399.0,0.0,,,,,,,,,
,2023-12-05 12:19:58.644775,,,,,0.0,0.12396840751171112,0.0005775376921519637,0.12396840751171112,0.20439675450325012,0.0016172160394489765,0.20439675450325012,,,
,2023-12-05 12:19:58.653436,,,,,0.0,,,,,,,0.18321791291236877,0.0028464789502322674,0.18321791291236877
0.02,2023-12-05 12:20:20.055493,,,,,,,,,,,,,,
,2023-12-05 12:20:20.924451,0.061666879802942276,0.00021654341253452003,0.061666879802942276,449.0,1.0,,,,,,,,,
0.02,2023-12-05 12:21:03.577074,,,,,,,,,,,,,,
,2023-12-05 12:21:06.108146,0.09961549937725067,0.0004026182577945292,0.09961549937725067,499.0,1.0,,,,,,,,,
0.02,2023-12-05 12:23:59.899460,,,,,,,,,,,,,,
,2023-12-05 12:24:00.763842,0.1726490557193756,0.0010348386131227016,0.1726490557193756,549.0,1.0,,,,,,,,,
0.02,2023-12-05 12:24:43.376664,,,,,,,,,,,,,,
,2023-12-05 12:24:44.242822,0.07858559489250183,0.00026929512387141585,0.07858559489250183,599.0,1.0,,,,,,,,,
0.02,2023-12-05 12:25:26.869670,,,,,,,,,,,,,,
,2023-12-05 12:25:27.735256,0.4675578773021698,0.006446560844779015,0.4675578773021698,649.0,1.0,,,,,,,,,
0.02,2023-12-05 12:26:10.364768,,,,,,,,,,,,,,
,2023-12-05 12:26:11.230689,0.16920307278633118,0.0006857208209112287,0.16920307278633118,699.0,1.0,,,,,,,,,
0.02,2023-12-05 12:26:53.841397,,,,,,,,,,,,,,
,2023-12-05 12:26:54.707184,0.055299144238233566,0.00020197163394186646,0.055299144238233566,749.0,1.0,,,,,,,,,
0.02,2023-12-05 12:27:37.344998,,,,,,,,,,,,,,
,2023-12-05 12:27:38.213137,0.07253037393093109,0.0002539899724069983,0.07253037393093109,799.0,1.0,,,,,,,,,
0.02,2023-12-05 12:28:20.883533,,,,,,,,,,,,,,
,2023-12-05 12:28:21.747443,0.4006400406360626,0.0032238573767244816,0.4006400406360626,849.0,1.0,,,,,,,,,
,2023-12-05 12:28:26.950621,,,,,1.0,0.13460703194141388,0.0005075859953649342,0.13460703194141388,0.07887113094329834,0.00036790609010495245,0.07887113094329834,,,
,2023-12-05 12:28:26.958982,,,,,1.0,,,,,,,0.1805388331413269,0.003649336053058505,0.1805388331413269
0.02,2023-12-05 12:29:10.096170,,,,,,,,,,,,,,
,2023-12-05 12:29:10.964812,0.1084139347076416,0.00039116392144933343,0.1084139347076416,899.0,2.0,,,,,,,,,
0.02,2023-12-05 12:29:53.593151,,,,,,,,,,,,,,
,2023-12-05 12:29:54.458802,0.12123779952526093,0.00043524737702682614,0.12123779952526093,949.0,2.0,,,,,,,,,
0.02,2023-12-05 12:30:37.080196,,,,,,,,,,,,,,
,2023-12-05 12:30:39.624615,0.2799302935600281,0.0019085499225184321,0.2799302935600281,999.0,2.0,,,,,,,,,
0.02,2023-12-05 12:33:29.439545,,,,,,,,,,,,,,
,2023-12-05 12:33:30.306058,0.268400102853775,0.0215303972363472,0.268400102853775,1049.0,2.0,,,,,,,,,
0.02,2023-12-05 12:34:12.928671,,,,,,,,,,,,,,
,2023-12-05 12:34:13.793065,0.058747369796037674,0.00021050828217994422,0.058747369796037674,1099.0,2.0,,,,,,,,,
0.02,2023-12-05 12:34:56.408021,,,,,,,,,,,,,,
,2023-12-05 12:34:57.276350,0.2067522555589676,0.0011359226191416383,0.2067522555589676,1149.0,2.0,,,,,,,,,
0.02,2023-12-05 12:35:39.899304,,,,,,,,,,,,,,
,2023-12-05 12:35:40.768178,0.3213671147823334,0.0015843933215364814,0.3213671147823334,1199.0,2.0,,,,,,,,,
0.02,2023-12-05 12:36:23.400415,,,,,,,,,,,,,,
,2023-12-05 12:36:24.268338,0.14024117588996887,0.000495018030051142,0.14024117588996887,1249.0,2.0,,,,,,,,,
,2023-12-05 12:36:51.264424,,,,,2.0,0.15550993382930756,0.0007958169444464147,0.15550993382930756,0.11972538381814957,0.0005997084081172943,0.11972538381814957,,,
,2023-12-05 12:36:51.272676,,,,,2.0,,,,,,,0.17545707523822784,0.0024644506629556417,0.17545707523822784
0.02,2023-12-05 12:37:12.674615,,,,,,,,,,,,,,
,2023-12-05 12:37:13.542696,0.16825789213180542,0.0006062644533813,0.16825789213180542,1299.0,3.0,,,,,,,,,
0.02,2023-12-05 12:37:56.167258,,,,,,,,,,,,,,
,2023-12-05 12:37:57.034067,0.01632377691566944,7.05997517798096e-05,0.01632377691566944,1349.0,3.0,,,,,,,,,
0.02,2023-12-05 12:38:39.661071,,,,,,,,,,,,,,
,2023-12-05 12:38:40.525798,0.022990591824054718,9.586873056832701e-05,0.022990591824054718,1399.0,3.0,,,,,,,,,
0.02,2023-12-05 12:39:23.135349,,,,,,,,,,,,,,
,2023-12-05 12:39:23.997784,0.38185033202171326,0.015011405572295189,0.38185033202171326,1449.0,3.0,,,,,,,,,
0.02,2023-12-05 12:40:06.643394,,,,,,,,,,,,,,
,2023-12-05 12:40:08.350673,0.20133179426193237,0.00425034761428833,0.20133179426193237,1499.0,3.0,,,,,,,,,
0.02,2023-12-05 12:42:58.336117,,,,,,,,,,,,,,
,2023-12-05 12:42:59.206692,0.09560152888298035,0.00032814452424645424,0.09560152888298035,1549.0,3.0,,,,,,,,,
0.02,2023-12-05 12:43:41.842826,,,,,,,,,,,,,,
,2023-12-05 12:43:42.708631,0.23250572383403778,0.0012979782186448574,0.23250572383403778,1599.0,3.0,,,,,,,,,
0.02,2023-12-05 12:44:25.346079,,,,,,,,,,,,,,
,2023-12-05 12:44:26.212913,0.12549233436584473,0.00047331550740636885,0.12549233436584473,1649.0,3.0,,,,,,,,,
0.02,2023-12-05 12:45:08.889027,,,,,,,,,,,,,,
,2023-12-05 12:45:09.753716,0.2916703224182129,0.0016000984469428658,0.2916703224182129,1699.0,3.0,,,,,,,,,
,2023-12-05 12:45:14.956649,,,,,3.0,0.10317166149616241,0.0005541257560253143,0.10317166149616241,0.2600841224193573,0.001869608648121357,0.2600841224193573,,,
,2023-12-05 12:45:14.968619,,,,,3.0,,,,,,,0.17994104325771332,0.0034325672313570976,0.17994104325771332
0.02,2023-12-05 12:45:58.128709,,,,,,,,,,,,,,
,2023-12-05 12:45:58.994522,0.05691932514309883,0.00020456936908885837,0.05691932514309883,1749.0,4.0,,,,,,,,,
0.02,2023-12-05 12:46:41.641791,,,,,,,,,,,,,,
,2023-12-05 12:46:42.509234,0.05626543238759041,0.0002037162339547649,0.05626543238759041,1799.0,4.0,,,,,,,,,
0.02,2023-12-05 12:47:25.176380,,,,,,,,,,,,,,
,2023-12-05 12:47:26.040207,0.05517948791384697,0.00019339457503519952,0.05517948791384697,1849.0,4.0,,,,,,,,,
0.02,2023-12-05 12:48:08.711255,,,,,,,,,,,,,,
,2023-12-05 12:48:09.575709,0.12762852013111115,0.0005243937484920025,0.12762852013111115,1899.0,4.0,,,,,,,,,
0.02,2023-12-05 12:48:52.273615,,,,,,,,,,,,,,
,2023-12-05 12:48:53.142054,0.19432081282138824,0.0009907453786581755,0.19432081282138824,1949.0,4.0,,,,,,,,,
0.02,2023-12-05 12:49:35.804461,,,,,,,,,,,,,,
,2023-12-05 12:49:37.518973,0.0927492082118988,0.00031520630000159144,0.0927492082118988,1999.0,4.0,,,,,,,,,
0.02,2023-12-05 12:52:27.540522,,,,,,,,,,,,,,
,2023-12-05 12:52:28.405916,0.24667389690876007,0.002147246617823839,0.24667389690876007,2049.0,4.0,,,,,,,,,
0.02,2023-12-05 12:53:11.061304,,,,,,,,,,,,,,
,2023-12-05 12:53:11.930211,0.38000303506851196,0.007758310995995998,0.38000303506851196,2099.0,4.0,,,,,,,,,
,2023-12-05 12:53:38.945377,,,,,4.0,0.1499725729227066,0.0005415266496129334,0.1499725729227066,0.2206522822380066,0.0037438974250108004,0.2206522822380066,,,
,2023-12-05 12:53:38.954076,,,,,4.0,,,,,,,0.1719522327184677,0.002494526095688343,0.1719522327184677
0.02,2023-12-05 12:54:00.394994,,,,,,,,,,,,,,
,2023-12-05 12:54:01.260763,0.19362890720367432,0.0011348639382049441,0.19362890720367432,2149.0,5.0,,,,,,,,,
0.02,2023-12-05 12:54:43.895712,,,,,,,,,,,,,,
,2023-12-05 12:54:44.762520,0.1149982362985611,0.00047374237328767776,0.1149982362985611,2199.0,5.0,,,,,,,,,
0.02,2023-12-05 12:55:27.397470,,,,,,,,,,,,,,
,2023-12-05 12:55:28.268289,0.17543576657772064,0.0006426048930734396,0.17543576657772064,2249.0,5.0,,,,,,,,,
0.02,2023-12-05 12:56:10.891014,,,,,,,,,,,,,,
,2023-12-05 12:56:11.756849,0.0741899162530899,0.0002620589220896363,0.0741899162530899,2299.0,5.0,,,,,,,,,
0.02,2023-12-05 12:56:54.382953,,,,,,,,,,,,,,
,2023-12-05 12:56:55.251592,0.3540154695510864,0.0031011805403977633,0.3540154695510864,2349.0,5.0,,,,,,,,,
0.02,2023-12-05 12:57:37.895031,,,,,,,,,,,,,,
,2023-12-05 12:57:38.760888,0.11238525062799454,0.0003949681995436549,0.11238525062799454,2399.0,5.0,,,,,,,,,
0.02,2023-12-05 12:58:21.394226,,,,,,,,,,,,,,
,2023-12-05 12:58:22.260351,0.11199244856834412,0.0003772646305151284,0.11199244856834412,2449.0,5.0,,,,,,,,,
0.02,2023-12-05 12:59:04.886130,,,,,,,,,,,,,,
,2023-12-05 12:59:06.596410,0.11345243453979492,0.0007766732596792281,0.11345243453979492,2499.0,5.0,,,,,,,,,
0.02,2023-12-05 13:01:56.401249,,,,,,,,,,,,,,
