lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2023-12-04 23:42:11.110433,0.024267982691526413,0.00010113407915923744,0.024267982691526413,1399.0,3.0,,,,,,,,,
0.02,2023-12-04 23:42:53.742197,,,,,,,,,,,,,,
,2023-12-04 23:42:54.606336,0.3849222660064697,0.015042783692479134,0.3849222660064697,1449.0,3.0,,,,,,,,,
0.02,2023-12-04 23:43:37.214856,,,,,,,,,,,,,,
,2023-12-04 23:43:38.894294,0.20394602417945862,0.004275579936802387,0.20394602417945862,1499.0,3.0,,,,,,,,,
0.02,2023-12-04 23:46:28.559687,,,,,,,,,,,,,,
,2023-12-04 23:46:29.425147,0.09762589633464813,0.00033522798912599683,0.09762589633464813,1549.0,3.0,,,,,,,,,
0.02,2023-12-04 23:47:12.043512,,,,,,,,,,,,,,
,2023-12-04 23:47:12.910581,0.2380075454711914,0.0013258298859000206,0.2380075454711914,1599.0,3.0,,,,,,,,,
0.02,2023-12-04 23:47:55.534525,,,,,,,,,,,,,,
,2023-12-04 23:47:56.400239,0.1297314316034317,0.0004886899841949344,0.1297314316034317,1649.0,3.0,,,,,,,,,
0.02,2023-12-04 23:48:39.099581,,,,,,,,,,,,,,
,2023-12-04 23:48:39.959685,0.2984771728515625,0.0016375032719224691,0.2984771728515625,1699.0,3.0,,,,,,,,,
,2023-12-04 23:48:45.157572,,,,,3.0,0.10498423874378204,0.0005636500427499413,0.10498423874378204,0.26553305983543396,0.0019042582716792822,0.26553305983543396,,,
,2023-12-04 23:48:45.169171,,,,,3.0,,,,,,,0.1833169162273407,0.0034523503854870796,0.1833169162273407
0.02,2023-12-04 23:49:28.299371,,,,,,,,,,,,,,
,2023-12-04 23:49:29.165038,0.05815192312002182,0.00020917785877827555,0.05815192312002182,1749.0,4.0,,,,,,,,,
0.02,2023-12-04 23:50:11.786546,,,,,,,,,,,,,,
,2023-12-04 23:50:12.651822,0.05745237320661545,0.0002080202684737742,0.05745237320661545,1799.0,4.0,,,,,,,,,
0.02,2023-12-04 23:50:55.282337,,,,,,,,,,,,,,
,2023-12-04 23:50:56.148873,0.05564339831471443,0.00019499956397339702,0.05564339831471443,1849.0,4.0,,,,,,,,,
0.02,2023-12-04 23:51:38.809605,,,,,,,,,,,,,,
,2023-12-04 23:51:39.677027,0.13055230677127838,0.000535198487341404,0.13055230677127838,1899.0,4.0,,,,,,,,,
0.02,2023-12-04 23:52:22.317472,,,,,,,,,,,,,,
,2023-12-04 23:52:23.182967,0.19520629942417145,0.0009945507626980543,0.19520629942417145,1949.0,4.0,,,,,,,,,
0.02,2023-12-04 23:53:05.809024,,,,,,,,,,,,,,
,2023-12-04 23:53:07.491344,0.09836685657501221,0.0003336350491736084,0.09836685657501221,1999.0,4.0,,,,,,,,,
0.02,2023-12-04 23:55:56.972736,,,,,,,,,,,,,,
,2023-12-04 23:55:57.838237,0.24970746040344238,0.0021768840961158276,0.24970746040344238,2049.0,4.0,,,,,,,,,
0.02,2023-12-04 23:56:40.464326,,,,,,,,,,,,,,
,2023-12-04 23:56:41.329354,0.3847576081752777,0.007821897976100445,0.3847576081752777,2099.0,4.0,,,,,,,,,
,2023-12-04 23:57:08.312137,,,,,4.0,0.155390664935112,0.0005605745827779174,0.155390664935112,0.2243587076663971,0.0037769675254821777,0.2243587076663971,,,
,2023-12-04 23:57:08.321542,,,,,4.0,,,,,,,0.17573590576648712,0.0025141281075775623,0.17573590576648712
0.02,2023-12-04 23:57:29.766887,,,,,,,,,,,,,,
,2023-12-04 23:57:30.632755,0.19981320202350616,0.0011673163389787078,0.19981320202350616,2149.0,5.0,,,,,,,,,
0.02,2023-12-04 23:58:13.239453,,,,,,,,,,,,,,
,2023-12-04 23:58:14.107984,0.11789242923259735,0.00048450130270794034,0.11789242923259735,2199.0,5.0,,,,,,,,,
0.02,2023-12-04 23:58:56.731247,,,,,,,,,,,,,,
,2023-12-04 23:58:57.597936,0.17889580130577087,0.0006553409621119499,0.17889580130577087,2249.0,5.0,,,,,,,,,
0.02,2023-12-04 23:59:40.228780,,,,,,,,,,,,,,
,2023-12-04 23:59:41.097022,0.07716500759124756,0.00027236121241003275,0.07716500759124756,2299.0,5.0,,,,,,,,,
0.02,2023-12-05 00:00:23.708407,,,,,,,,,,,,,,
,2023-12-05 00:00:24.574221,0.3593829572200775,0.003145033260807395,0.3593829572200775,2349.0,5.0,,,,,,,,,
0.02,2023-12-05 00:01:07.196121,,,,,,,,,,,,,,
,2023-12-05 00:01:08.063996,0.11692745238542557,0.00041117455111816525,0.11692745238542557,2399.0,5.0,,,,,,,,,
0.02,2023-12-05 00:01:50.686091,,,,,,,,,,,,,,
,2023-12-05 00:01:51.556988,0.1142452210187912,0.0003849974018521607,0.1142452210187912,2449.0,5.0,,,,,,,,,
0.02,2023-12-05 00:02:34.171678,,,,,,,,,,,,,,
,2023-12-05 00:02:35.853507,0.11622047424316406,0.0007951495936140418,0.11622047424316406,2499.0,5.0,,,,,,,,,
0.02,2023-12-05 00:05:25.368620,,,,,,,,,,,,,,
,2023-12-05 00:05:26.230706,0.13491538166999817,0.0008294517756439745,0.13491538166999817,2549.0,5.0,,,,,,,,,
,2023-12-05 00:05:31.443168,,,,,5.0,0.1632387489080429,0.0006095270509831607,0.1632387489080429,0.10051651298999786,0.0003622328513301909,0.10051651298999786,,,
,2023-12-05 00:05:31.452933,,,,,5.0,,,,,,,0.17801043391227722,0.0033424929715692997,0.17801043391227722
0.02,2023-12-05 00:06:14.559692,,,,,,,,,,,,,,
,2023-12-05 00:06:15.427634,0.18349188566207886,0.002799592213705182,0.18349188566207886,2599.0,6.0,,,,,,,,,
0.02,2023-12-05 00:06:58.055001,,,,,,,,,,,,,,
,2023-12-05 00:06:58.921265,0.31301844120025635,0.0032286166679114103,0.31301844120025635,2649.0,6.0,,,,,,,,,
0.02,2023-12-05 00:07:41.546185,,,,,,,,,,,,,,
,2023-12-05 00:07:42.412974,0.07536743581295013,0.00026802721549756825,0.07536743581295013,2699.0,6.0,,,,,,,,,
0.02,2023-12-05 00:08:25.018017,,,,,,,,,,,,,,
,2023-12-05 00:08:25.886931,0.1099453866481781,0.00037095058360137045,0.1099453866481781,2749.0,6.0,,,,,,,,,
0.02,2023-12-05 00:09:08.506888,,,,,,,,,,,,,,
,2023-12-05 00:09:09.372333,0.1012980043888092,0.0003468149807304144,0.1012980043888092,2799.0,6.0,,,,,,,,,
0.02,2023-12-05 00:09:51.999688,,,,,,,,,,,,,,
,2023-12-05 00:09:52.871194,0.19575923681259155,0.0010804809862747788,0.19575923681259155,2849.0,6.0,,,,,,,,,
0.02,2023-12-05 00:10:35.485844,,,,,,,,,,,,,,
,2023-12-05 00:10:36.351092,0.06312114745378494,0.0002311999414814636,0.06312114745378494,2899.0,6.0,,,,,,,,,
0.02,2023-12-05 00:11:18.970754,,,,,,,,,,,,,,
,2023-12-05 00:11:19.837526,0.30758222937583923,0.0036796345375478268,0.30758222937583923,2949.0,6.0,,,,,,,,,
,2023-12-05 00:11:46.823245,,,,,6.0,0.1963556408882141,0.0015372951747849584,0.1963556408882141,0.3243427872657776,0.00600082753226161,0.3243427872657776,,,
,2023-12-05 00:11:46.834031,,,,,6.0,,,,,,,0.17752282321453094,0.0029911792371422052,0.17752282321453094
0.02,2023-12-05 00:12:08.292524,,,,,,,,,,,,,,
,2023-12-05 00:12:09.977565,0.24339142441749573,0.0017261926550418139,0.24339142441749573,2999.0,7.0,,,,,,,,,
0.02,2023-12-05 00:14:59.490164,,,,,,,,,,,,,,
,2023-12-05 00:15:00.356149,0.05770234763622284,0.00020634975226130337,0.05770234763622284,3049.0,7.0,,,,,,,,,
0.02,2023-12-05 00:15:42.979141,,,,,,,,,,,,,,
,2023-12-05 00:15:43.845592,0.22421351075172424,0.0012976223370060325,0.22421351075172424,3099.0,7.0,,,,,,,,,
0.02,2023-12-05 00:16:26.459885,,,,,,,,,,,,,,
,2023-12-05 00:16:27.326099,0.2937160134315491,0.0015678521012887359,0.2937160134315491,3149.0,7.0,,,,,,,,,
0.02,2023-12-05 00:17:09.941389,,,,,,,,,,,,,,
,2023-12-05 00:17:10.809522,0.05966319516301155,0.00021219879272393882,0.05966319516301155,3199.0,7.0,,,,,,,,,
0.02,2023-12-05 00:17:53.430941,,,,,,,,,,,,,,
,2023-12-05 00:17:54.296521,0.10719077289104462,0.00040368782356381416,0.10719077289104462,3249.0,7.0,,,,,,,,,
0.02,2023-12-05 00:18:36.908908,,,,,,,,,,,,,,
,2023-12-05 00:18:37.779937,0.09427013993263245,0.0003235048206988722,0.09427013993263245,3299.0,7.0,,,,,,,,,
0.02,2023-12-05 00:19:20.410916,,,,,,,,,,,,,,
,2023-12-05 00:19:21.278071,0.271550714969635,0.0020552771165966988,0.271550714969635,3349.0,7.0,,,,,,,,,
0.02,2023-12-05 00:20:03.958431,,,,,,,,,,,,,,
,2023-12-05 00:20:04.821263,0.18742340803146362,0.0013163895346224308,0.18742340803146362,3399.0,7.0,,,,,,,,,
,2023-12-05 00:20:10.027440,,,,,7.0,0.3215566575527191,0.08901619911193848,0.3215566575527191,0.1597234308719635,0.0021375357173383236,0.1597234308719635,,,
,2023-12-05 00:20:10.042722,,,,,7.0,,,,,,,0.17829245328903198,0.0027285870164632797,0.17829245328903198
0.02,2023-12-05 00:20:53.173128,,,,,,,,,,,,,,
,2023-12-05 00:20:54.042515,0.125410795211792,0.00043135829037055373,0.125410795211792,3449.0,8.0,,,,,,,,,
0.02,2023-12-05 00:21:36.662368,,,,,,,,,,,,,,
,2023-12-05 00:21:38.344781,0.2977186441421509,0.0022351769730448723,0.2977186441421509,3499.0,8.0,,,,,,,,,
0.02,2023-12-05 00:24:27.897493,,,,,,,,,,,,,,
,2023-12-05 00:24:28.763803,0.1486041098833084,0.0006508462829515338,0.1486041098833084,3549.0,8.0,,,,,,,,,
0.02,2023-12-05 00:25:11.372983,,,,,,,,,,,,,,
,2023-12-05 00:25:12.239871,0.2143067717552185,0.0009279833757318556,0.2143067717552185,3599.0,8.0,,,,,,,,,
0.02,2023-12-05 00:25:54.865088,,,,,,,,,,,,,,
,2023-12-05 00:25:55.729282,0.27282077074050903,0.001548804808408022,0.27282077074050903,3649.0,8.0,,,,,,,,,
0.02,2023-12-05 00:26:38.345349,,,,,,,,,,,,,,
,2023-12-05 00:26:39.214389,0.06515338271856308,0.00023305453942157328,0.06515338271856308,3699.0,8.0,,,,,,,,,
0.02,2023-12-05 00:27:21.826983,,,,,,,,,,,,,,
,2023-12-05 00:27:22.693870,0.1592993587255478,0.0005544396117329597,0.1592993587255478,3749.0,8.0,,,,,,,,,
0.02,2023-12-05 00:28:05.322339,,,,,,,,,,,,,,
,2023-12-05 00:28:06.190339,0.2698438763618469,0.0017028979491442442,0.2698438763618469,3799.0,8.0,,,,,,,,,
,2023-12-05 00:28:33.189833,,,,,8.0,0.15682783722877502,0.0006319930544123054,0.15682783722877502,0.19158583879470825,0.0011668953811749816,0.19158583879470825,,,
,2023-12-05 00:28:33.200449,,,,,8.0,,,,,,,0.17965075373649597,0.004474143963307142,0.17965075373649597
0.02,2023-12-05 00:28:54.620308,,,,,,,,,,,,,,
,2023-12-05 00:28:55.487074,0.13137628138065338,0.0005711427656933665,0.13137628138065338,3849.0,9.0,,,,,,,,,
0.02,2023-12-05 00:29:38.092562,,,,,,,,,,,,,,
,2023-12-05 00:29:38.959788,0.3266533613204956,0.0025121374055743217,0.3266533613204956,3899.0,9.0,,,,,,,,,
0.02,2023-12-05 00:30:21.586918,,,,,,,,,,,,,,
,2023-12-05 00:30:22.456043,0.28711748123168945,0.009222343564033508,0.28711748123168945,3949.0,9.0,,,,,,,,,
0.02,2023-12-05 00:31:05.073406,,,,,,,,,,,,,,
,2023-12-05 00:31:06.758569,0.17856164276599884,0.001482091611251235,0.17856164276599884,3999.0,9.0,,,,,,,,,
0.02,2023-12-05 00:33:56.147199,,,,,,,,,,,,,,
,2023-12-05 00:33:57.013840,0.24434059858322144,0.0010733429808169603,0.24434059858322144,4049.0,9.0,,,,,,,,,
0.02,2023-12-05 00:34:39.641383,,,,,,,,,,,,,,
,2023-12-05 00:34:40.508361,0.201729416847229,0.0015350738540291786,0.201729416847229,4099.0,9.0,,,,,,,,,
0.02,2023-12-05 00:35:23.118446,,,,,,,,,,,,,,
,2023-12-05 00:35:23.986192,0.20563222467899323,0.0008353418088518083,0.20563222467899323,4149.0,9.0,,,,,,,,,
0.02,2023-12-05 00:36:06.623232,,,,,,,,,,,,,,
,2023-12-05 00:36:07.492942,0.1574978083372116,0.0015325875720009208,0.1574978083372116,4199.0,9.0,,,,,,,,,
0.02,2023-12-05 00:36:50.170786,,,,,,,,,,,,,,
,2023-12-05 00:36:51.032392,0.15604008734226227,0.0006057015853002667,0.15604008734226227,4249.0,9.0,,,,,,,,,
,2023-12-05 00:36:56.243263,,,,,9.0,0.16288535296916962,0.0008022902184166014,0.16288535296916962,0.1805448830127716,0.0020919048693031073,0.1805448830127716,,,
,2023-12-05 00:36:56.253634,,,,,9.0,,,,,,,0.17213892936706543,0.0030004275031387806,0.17213892936706543
0.02,2023-12-05 00:37:39.413585,,,,,,,,,,,,,,
,2023-12-05 00:37:40.278414,0.06943152844905853,0.0002457129885442555,0.06943152844905853,4299.0,10.0,,,,,,,,,
0.02,2023-12-05 00:38:22.908032,,,,,,,,,,,,,,
,2023-12-05 00:38:23.778851,0.29241669178009033,0.0029709336813539267,0.29241669178009033,4349.0,10.0,,,,,,,,,
0.02,2023-12-05 00:39:06.396558,,,,,,,,,,,,,,
,2023-12-05 00:39:07.261319,0.09996352344751358,0.00036824552807956934,0.09996352344751358,4399.0,10.0,,,,,,,,,
0.02,2023-12-05 00:39:49.856998,,,,,,,,,,,,,,
,2023-12-05 00:39:50.721364,0.02907826006412506,0.00011448201257735491,0.02907826006412506,4449.0,10.0,,,,,,,,,
0.02,2023-12-05 00:40:33.339912,,,,,,,,,,,,,,
,2023-12-05 00:40:35.020264,0.28331002593040466,0.001950647565536201,0.28331002593040466,4499.0,10.0,,,,,,,,,
0.02,2023-12-05 00:43:24.325221,,,,,,,,,,,,,,
,2023-12-05 00:43:25.195541,0.27907395362854004,0.002478201873600483,0.27907395362854004,4549.0,10.0,,,,,,,,,
0.02,2023-12-05 00:44:07.809870,,,,,,,,,,,,,,
,2023-12-05 00:44:08.679547,0.10850769281387329,0.0003951911348849535,0.10850769281387329,4599.0,10.0,,,,,,,,,
0.02,2023-12-05 00:44:51.307977,,,,,,,,,,,,,,
,2023-12-05 00:44:52.173587,0.19432252645492554,0.000827923184260726,0.19432252645492554,4649.0,10.0,,,,,,,,,
,2023-12-05 00:45:19.158911,,,,,10.0,0.17576156556606293,0.0011945811565965414,0.17576156556606293,0.1938955932855606,0.0008360299398191273,0.1938955932855606,,,
,2023-12-05 00:45:19.169557,,,,,10.0,,,,,,,0.17678698897361755,0.0021730451844632626,0.17678698897361755
0.02,2023-12-05 00:45:40.580362,,,,,,,,,,,,,,
,2023-12-05 00:45:41.447327,0.033254481852054596,0.00013528164708986878,0.033254481852054596,4699.0,11.0,,,,,,,,,
0.02,2023-12-05 00:46:24.056945,,,,,,,,,,,,,,
,2023-12-05 00:46:24.923844,0.08182427287101746,0.000284787907730788,0.08182427287101746,4749.0,11.0,,,,,,,,,
0.02,2023-12-05 00:47:07.549433,,,,,,,,,,,,,,
,2023-12-05 00:47:08.417057,0.06736063212156296,0.00023152679204940796,0.06736063212156296,4799.0,11.0,,,,,,,,,
0.02,2023-12-05 00:47:51.033999,,,,,,,,,,,,,,
,2023-12-05 00:47:51.898852,0.12949661910533905,0.0008140075369738042,0.12949661910533905,4849.0,11.0,,,,,,,,,
0.02,2023-12-05 00:48:34.505771,,,,,,,,,,,,,,
